"season","season_type","week","poll","rank","school","conference","first_place_votes","points"
2000,"regular",1,"AP Top 25",1,"Nebraska","Big 12",NA,NA
2000,"regular",1,"AP Top 25",2,"Florida State","ACC",NA,NA
2000,"regular",1,"AP Top 25",3,"Alabama","SEC",NA,NA
2000,"regular",1,"AP Top 25",4,"Wisconsin","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",5,"Miami","Big East",NA,NA
2000,"regular",1,"AP Top 25",6,"Michigan","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",7,"Texas","Big 12",NA,NA
2000,"regular",1,"AP Top 25",8,"Kansas State","Big 12",NA,NA
2000,"regular",1,"AP Top 25",9,"Florida","SEC",NA,NA
2000,"regular",1,"AP Top 25",10,"Georgia","SEC",NA,NA
2000,"regular",1,"AP Top 25",11,"Virginia Tech","Big East",NA,NA
2000,"regular",1,"AP Top 25",12,"Tennessee","SEC",NA,NA
2000,"regular",1,"AP Top 25",13,"Washington","Pac-10",NA,NA
2000,"regular",1,"AP Top 25",14,"Purdue","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",15,"USC","Pac-10",NA,NA
2000,"regular",1,"AP Top 25",16,"Ohio State","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",17,"Clemson","ACC",NA,NA
2000,"regular",1,"AP Top 25",18,"Ole Miss","SEC",NA,NA
2000,"regular",1,"AP Top 25",19,"Oklahoma","Big 12",NA,NA
2000,"regular",1,"AP Top 25",20,"TCU","Western Athletic",NA,NA
2000,"regular",1,"AP Top 25",21,"Illinois","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",22,"Penn State","Big Ten",NA,NA
2000,"regular",1,"AP Top 25",23,"Southern Mississippi","Conference USA",NA,NA
2000,"regular",1,"AP Top 25",24,"Colorado","Big 12",NA,NA
2000,"regular",1,"AP Top 25",25,"Michigan State","Big Ten",NA,NA
2000,"regular",2,"AP Top 25",1,"Nebraska","Big 12",NA,NA
2000,"regular",2,"AP Top 25",2,"Florida State","ACC",NA,NA
2000,"regular",2,"AP Top 25",3,"Alabama","SEC",NA,NA
2000,"regular",2,"AP Top 25",4,"Wisconsin","Big Ten",NA,NA
2000,"regular",2,"AP Top 25",5,"Miami","Big East",NA,NA
2000,"regular",2,"AP Top 25",6,"Michigan","Big Ten",NA,NA
2000,"regular",2,"AP Top 25",7,"Texas","Big 12",NA,NA
2000,"regular",2,"AP Top 25",8,"Kansas State","Big 12",NA,NA
