"year","team","conference","division","expected_wins","total_games","total_wins","total_losses","total_ties","conference_games","conference_wins","conference_losses","conference_ties","home_games","home_wins","home_losses","home_ties","away_games","away_wins","away_losses","away_ties"
2000,"Air Force","Mountain West","",0,12,9,3,0,7,5,2,0,6,5,1,0,5,3,2,0
2000,"Akron","Mid-American","East",0,11,6,5,0,8,5,3,0,6,3,3,0,5,3,2,0
2000,"Alabama","SEC","West",0,11,3,8,0,8,3,5,0,6,3,3,0,5,0,5,0
2000,"Arizona","Pac-10","",0,11,5,6,0,8,3,5,0,6,2,4,0,5,3,2,0
2000,"Arizona State","Pac-10","",0,12,6,6,0,8,3,5,0,6,3,3,0,5,3,2,0
2000,"Arkansas","SEC","West",0,12,6,6,0,8,3,5,0,7,5,2,0,4,1,3,0
2000,"Arkansas State","Big West","",0,11,1,10,0,5,1,4,0,5,1,4,0,6,0,6,0
2000,"Army","Conference USA","",0,11,1,10,0,7,1,6,0,5,1,4,0,6,0,6,0
2000,"Auburn","SEC","West",0,13,9,4,0,9,6,3,0,7,7,0,0,4,2,2,0
2000,"Ball State","Mid-American","West",0,11,5,6,0,7,4,3,0,5,2,3,0,6,3,3,0
2000,"Baylor","Big 12","South",0,11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
2000,"Boise State","Big West","",0,12,10,2,0,5,5,0,0,5,5,0,0,6,4,2,0
2000,"Boston College","Big East","",0,12,7,5,0,7,3,4,0,6,5,1,0,5,1,4,0
2000,"Bowling Green","Mid-American","East",0,11,2,9,0,8,2,6,0,5,1,4,0,6,1,5,0
2000,"Buffalo","Mid-American","East",0,11,2,9,0,8,2,6,0,5,2,3,0,6,0,6,0
2000,"BYU","Mountain West","",0,12,6,6,0,7,4,3,0,6,4,2,0,6,2,4,0
2000,"California","Pac-10","",0,11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
2000,"Central Michigan","Mid-American","West",0,11,2,9,0,8,2,6,0,5,2,3,0,6,0,6,0
2000,"Cincinnati","Conference USA","",0,12,7,5,0,7,5,2,0,6,6,0,0,5,1,4,0
2000,"Clemson","ACC","",0,12,9,3,0,8,6,2,0,7,6,1,0,4,3,1,0
2000,"Colorado","Big 12","North",0,11,3,8,0,8,3,5,0,5,1,4,0,6,2,4,0
2000,"Colorado State","Mountain West","",0,12,10,2,0,7,6,1,0,6,6,0,0,5,3,2,0
2000,"Connecticut","FBS Independents","",0,11,3,8,0,2,0,2,0,5,1,4,0,6,2,4,0
2000,"Duke","ACC","",0,11,0,11,0,8,0,8,0,5,0,5,0,6,0,6,0
2000,"East Carolina","Conference USA","",0,12,8,4,0,7,5,2,0,6,4,2,0,5,3,2,0
2000,"Eastern Michigan","Mid-American","West",0,11,3,8,0,7,2,5,0,6,3,3,0,5,0,5,0
2000,"Florida","SEC","East",0,13,10,3,0,9,8,1,0,7,7,0,0,4,2,2,0
2000,"Florida State","ACC","",0,13,11,2,0,8,8,0,0,7,7,0,0,5,4,1,0
2000,"Fresno State","Western Athletic","",0,12,7,5,0,8,6,2,0,5,5,0,0,6,2,4,0
2000,"Georgia","SEC","East",0,12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
2000,"Georgia Tech","ACC","",0,12,9,3,0,8,6,2,0,6,5,1,0,5,4,1,0
2000,"Hawai'i","Western Athletic","",0,12,3,9,0,8,2,6,0,8,3,5,0,4,0,4,0
2000,"Houston","Conference USA","",0,11,3,8,0,7,2,5,0,4,2,2,0,7,1,6,0
2000,"Idaho","Big West","",0,11,5,6,0,5,3,2,0,4,3,1,0,7,2,5,0
2000,"Illinois","Big Ten","",0,11,5,6,0,8,2,6,0,6,4,2,0,5,1,4,0
2000,"Indiana","Big Ten","",0,11,3,8,0,8,2,6,0,6,3,3,0,5,0,5,0
2000,"Iowa","Big Ten","",0,12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0
2000,"Iowa State","Big 12","North",0,12,9,3,0,8,5,3,0,6,4,2,0,5,4,1,0
2000,"Kansas","Big 12","North",0,11,4,7,0,8,2,6,0,6,3,3,0,5,1,4,0
2000,"Kansas State","Big 12","North",0,14,11,3,0,9,6,3,0,8,7,1,0,4,3,1,0
2000,"Kent State","Mid-American","East",0,11,1,10,0,8,1,7,0,5,0,5,0,6,1,5,0
2000,"Kentucky","SEC","East",0,11,2,9,0,8,0,8,0,6,2,4,0,5,0,5,0
2000,"Louisiana","FBS Independents","",0,11,1,10,0,3,1,2,0,5,0,5,0,6,1,5,0
2000,"Louisiana Monroe","FBS Independents","",0,11,1,10,0,4,0,4,0,5,1,4,0,6,0,6,0
