school,school_link,year,conference,wins,losses,ties,win_percent,pre_rank,post_rank,coach_name,coach_link,n_coaches,bowl,national_champs,conference_champs,AP Coach of the Year Award,Heisman Memorial Trophy,AP,DB,DL,K,KR,LB,OL,P,QB,RB,TE,WR,Off_AA,Def_AA,ST_AA,pass_att,pass_yd,pass_td,rush_att,rush_yd,rush_td,turnovers,opp_pass_yd,opp_pass_td,opp_rush_yd,opp_rush_td,takeaways,xp_att,fg_att,kick_points,punt_att,punt_avg
Air Force,/cfb/schools/air-force/,2021,MWC,10,3,,.769,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,First Responder Bowl-W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,95.5,0.6,63.8,328.7,3.4,0.7,194.3,1.2,102.5,1.4,1.2,3.8,1.2,6.2,3.1,40.2
Air Force,/cfb/schools/air-force/,2020,MWC,3,3,0,.500,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,83.7,0.5,52.0,305.7,2.7,1.3,166.8,1.2,137.7,0.7,1.3,2.8,1.5,5.3,2.7,40.7
Air Force,/cfb/schools/air-force/,2019,MWC,11,2,0,.846,,22,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,Cheez-It Bowl-W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,123.2,1.1,58.0,299.0,3.2,1.4,219.1,1.6,100.5,0.8,1.2,4.3,1.0,7.0,2.4,40.4
Air Force,/cfb/schools/air-force/,2018,MWC,5,7,0,.417,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,131.3,0.8,59.4,283.7,2.8,1.3,244.0,1.9,116.9,1.4,1.2,3.5,1.2,5.9,3.7,39.1
Air Force,/cfb/schools/air-force/,2017,MWC,5,7,0,.417,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,110.1,0.8,63.6,306.3,3.2,1.7,171.1,1.3,222.8,2.6,0.8,3.8,1.1,6.3,3.4,42.1
Air Force,/cfb/schools/air-force/,2016,MWC,10,3,0,.769,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,Arizona Bowl-W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,134.8,1.1,63.2,318.2,3.0,1.3,251.8,1.8,114.2,1.5,1.8,3.9,1.9,9.0,3.7,41.1
Air Force,/cfb/schools/air-force/,2015,MWC,8,6,0,.571,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,Armed Forces Bowl-L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,131.9,1.1,58.4,319.4,3.2,1.6,210.1,1.6,144.7,1.4,1.3,4.3,1.1,6.9,4.3,38.6
Air Force,/cfb/schools/air-force/,2014,MWC,10,3,0,.769,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,Famous Idaho Potato Bowl-W,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,145.6,1.2,61.2,273.1,2.6,1.3,258.4,1.5,136.9,1.3,1.4,3.6,,7.9,4.7,43.6
Air Force,/cfb/schools/air-force/,2013,MWC,2,10,0,.167,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,104.9,0.7,53.1,262.7,2.5,1.1,239.7,2.2,250.6,3.4,0.8,3.0,,5.7,4.1,38.7
Air Force,/cfb/schools/air-force/,2012,MWC,6,7,0,.462,,,Troy Calhoun,/cfb/coaches/troy-calhoun-1.html,1,Armed Forces Bowl-L,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,102.6,0.7,61.8,316.2,3.0,2.2,210.6,1.5,198.8,2.1,1.2,3.6,0.8,4.5,3.1,39.2
